kabupaten,luas_panen,produktivitas,produksi,tahun
Kab. Simeulue,"6085,45",33.2,20200.91,2018
Kab. Aceh Singkil,"967,02",56.16,5430.41,2018
Kab. Aceh Selatan,"9242,78",62.29,57573.07,2018
Kab. Aceh Tenggara,"10488,65",65.45,68651.03,2018
Kab. Aceh Timur,"30947,54",56.4,174531.52,2018
Kab. Aceh Tengah,"5039,88",60.38,30429.76,2018
Kab. Aceh Barat,"12915,46",45.17,58334.99,2018
Kab. Aceh Besar,"39223,68",59.29,232540.64,2018
Kab. Pidie,"40781,14",63.52,259042.12,2018
Kab. Bireuen,"27140,97",61.44,166766.79,2018
Kab. Aceh Utara,"71800,78",52.25,375153.85,2018
Kab. Aceh Barat Daya,"14907,04",61.61,91836.92,2018
Kab. Gayo Lues,"6210,54",46.34,28778.99,2018
Kab. Aceh Tamiang,"12199,57",48.16,58755.73,2018
Kab. Nagan Raya,"8774,15",55.21,48442.91,2018
Kab. Aceh Jaya,"12363,21",53.26,65841.73,2018
Kab. Bener Meriah,"482,89",50.43,2435.45,2018
Kab. Pidie Jaya,"16089,39",61.42,98828.56,2018
Kota Banda Aceh,"19,91",54.89,109.28,2018
Kota Langsa,"1161,86",44.39,5157.95,2018
Kota Lhokseumawe,"2233,36",46.05,10283.57,2018
Kota Subulussalam,"440,51",55.41,2440.92,2018
Kab. Simeulue,"4251,19",32.97,14017.31,2019
Kab. Aceh Singkil,"911,66",55.38,5048.72,2019
Kab. Aceh Selatan,"8607,52",51.1,43980.43,2019
Kab. Aceh Tenggara,"10590,02",66.4,70313.4,2019
Kab. Aceh Timur,"28567,22",44.85,128126.1,2019
Kab. Aceh Tengah,"4797,25",51.25,24583.49,2019
Kab. Aceh Barat,"12624,05",42.83,54072.16,2019
Kab. Aceh Besar,"32883,77",57.05,187596.67,2019
Kab. Pidie,"40051,96",61.93,248059.62,2019
Kab. Bireuen,"26871,88",63.7,171161.97,2019
Kab. Aceh Utara,"72228,36",54.89,396467.64,2019
Kab. Aceh Barat Daya,"10497,29",69.52,72980.53,2019
Kab. Gayo Lues,"5723,33",49.47,28312.69,2019
Kab. Aceh Tamiang,"14748,01",48.11,70958.62,2019
Kab. Nagan Raya,"7270,7",51.52,37457.89,2019
Kab. Aceh Jaya,"9182,53",51.46,47252.94,2019
Kab. Bener Meriah,429,55.44,2378.24,2019
Kab. Pidie Jaya,"15770,99",59.04,93110.71,2019
Kota Banda Aceh,"13,35",52.35,69.88,2019
Kota Langsa,"1537,21",41.2,6332.96,2019
Kota Lhokseumawe,"2095,93",49.34,10342.2,2019
Kota Subulussalam,"359,24",50.48,1813.43,2019
Kab. Simeulue,"5236,42",31.38,16430.86,2020
Kab. Aceh Singkil,"747,15",50.97,3808.19,2020
Kab. Aceh Selatan,"9872,89",54.0,53313.52,2020
Kab. Aceh Tenggara,"10508,56",63.72,66956.46,2020
Kab. Aceh Timur,"29929,34",49.19,147215.29,2020
Kab. Aceh Tengah,"3503,1",47.53,16649.77,2020
Kab. Aceh Barat,"13832,38",45.54,62990.6,2020
Kab. Aceh Besar,"32821,25",54.8,179856.23,2020
Kab. Pidie,"38887,61",63.4,246564.18,2020
Kab. Bireuen,"28017,62",66.01,184943.58,2020
Kab. Aceh Utara,"72332,73",53.67,388190.19,2020
Kab. Aceh Barat Daya,"12054,78",57.09,68823.14,2020
Kab. Gayo Lues,"6563,66",55.32,36309.25,2020
Kab. Aceh Tamiang,"14985,19",46.75,70062.57,2020
Kab. Nagan Raya,"8895,23",44.03,39168.32,2020
