kabupaten,luas_panen,produktivitas,produksi,tahun,curah_hujan_rataan,curah_hujan_total,suhu_rataan,suhu_maksimum,suhu_minimum,kelembapan_rataan
simeulue,6085.45,33.2,20200.91,2018,6.432410958904109,2347.83,27.843424657534246,29.21,26.08,78.48904109589041
aceh singkil,967.02,56.16,5430.41,2018,8.170109589041097,2982.09,27.493616438356163,29.15,25.6,79.53441095890412
aceh selatan,9242.78,62.29,57573.07,2018,6.786082191780822,2476.92,25.206000000000003,26.8,23.05,85.03652054794522
aceh tenggara,10488.65,65.45,68651.03,2018,6.761041095890412,2467.78,20.623315068493152,22.63,18.18,88.93194520547945
aceh timur,30947.54,56.4,174531.52,2018,4.523506849315068,1651.08,27.475506849315067,29.5,25.26,79.90161643835617
aceh tengah,5039.88,60.38,30429.76,2018,7.9940273972602744,2917.82,19.67895890410959,21.76,17.33,89.4221095890411
aceh barat,12915.46,45.17,58334.99,2018,7.743972602739727,2826.55,26.38350684931507,27.96,24.56,83.77698630136986
aceh besar,39223.68,59.29,232540.64,2018,6.978246575342466,2547.06,26.81906849315068,28.74,25.13,79.80945205479452
pidie,40781.14,63.52,259042.12,2018,7.437616438356164,2714.73,22.6973698630137,24.37,20.37,89.53608219178082
bireuen,27140.97,61.44,166766.79,2018,6.220931506849315,2270.64,24.042904109589042,26.17,21.87,87.12649315068492
aceh utara,71800.78,52.25,375153.85,2018,6.220931506849315,2270.64,24.042904109589042,26.17,21.87,87.12649315068492
aceh barat daya,14907.04,61.61,91836.92,2018,8.135780821917809,2969.56,25.20186301369863,26.91,23.18,82.33043835616438
gayo lues,6210.54,46.34,28778.99,2018,6.375561643835616,2327.08,19.48178082191781,21.19,17.27,89.10301369863014
aceh tamiang,12199.57,48.16,58755.73,2018,4.820958904109589,1759.65,25.27276712328767,27.6,23.19,85.7706301369863
nagan raya,8774.15,55.21,48442.91,2018,7.743972602739727,2826.55,26.38350684931507,27.96,24.56,83.77698630136986
aceh jaya,12363.21,53.26,65841.73,2018,7.760931506849315,2832.74,27.49221917808219,29.45,25.19,80.34545205479452
bener meriah,482.89,50.43,2435.45,2018,7.9940273972602744,2917.82,19.67895890410959,21.76,17.33,89.4221095890411
pidie jaya,16089.39,61.42,98828.56,2018,7.437616438356164,2714.73,22.6973698630137,24.37,20.37,89.53608219178082
banda aceh,19.91,54.89,109.28,2018,6.978246575342466,2547.06,26.81906849315068,28.74,25.13,79.80945205479452
langsa,1161.86,44.39,5157.95,2018,4.523506849315068,1651.08,27.475506849315067,29.5,25.26,79.90161643835617
lhokseumawe,2233.36,46.05,10283.57,2018,6.220931506849315,2270.64,24.042904109589042,26.17,21.87,87.12649315068492
subulussalam,440.51,55.41,2440.92,2018,8.945698630136986,3265.18,23.804,25.74,21.43,88.00112328767123
simeulue,4251.19,32.97,14017.31,2019,4.890438356164384,1785.01,28.13104109589041,29.59,25.85,79.00635616438356
aceh singkil,911.66,55.38,5048.72,2019,7.689013698630136,2806.49,27.825397260273974,29.12,25.77,79.95317808219178
aceh selatan,8607.52,51.1,43980.43,2019,6.175835616438356,2254.18,25.554,27.24,23.58,85.51679452054795
aceh tenggara,10590.02,66.4,70313.4,2019,6.047835616438356,2207.46,21.038958904109588,22.92,19.32,89.34619178082193
aceh timur,28567.22,44.85,128126.1,2019,3.448931506849315,1258.86,27.894246575342464,29.79,26.13,78.69917808219178
aceh tengah,4797.25,51.25,24583.49,2019,5.6968493150684925,2079.35,20.080164383561645,22.19,17.87,88.68816438356164
aceh barat,12624.05,42.83,54072.16,2019,6.128876712328767,2237.04,26.726246575342465,28.4,24.75,83.66860273972603
aceh besar,32883.77,57.05,187596.67,2019,5.267616438356165,1922.68,27.193753424657533,29.06,25.4,79.27358904109589
pidie,40051.96,61.93,248059.62,2019,5.526739726027397,2017.26,23.063424657534245,24.94,21.32,88.79580821917808
bireuen,26871.88,63.7,171161.97,2019,4.282575342465754,1563.14,24.417561643835615,26.27,22.75,86.17780821917809
aceh utara,72228.36,54.89,396467.64,2019,4.282575342465754,1563.14,24.417561643835615,26.27,22.75,86.17780821917809
aceh barat daya,10497.29,69.52,72980.53,2019,7.1272602739726025,2601.45,25.522931506849318,27.14,23.63,83.12890410958904
gayo lues,5723.33,49.47,28312.69,2019,5.220356164383562,1905.43,19.860383561643836,21.67,17.77,88.8502191780822
aceh tamiang,14748.01,48.11,70958.62,2019,3.8734520547945204,1413.81,25.733780821917808,27.74,23.38,84.19676712328767
nagan raya,7270.7,51.52,37457.89,2019,6.128876712328767,2237.04,26.726246575342465,28.4,24.75,83.66860273972603
aceh jaya,9182.53,51.46,47252.94,2019,6.039561643835617,2204.44,27.832438356164385,29.88,25.74,79.74060273972603
bener meriah,429.0,55.44,2378.24,2019,5.6968493150684925,2079.35,20.080164383561645,22.19,17.87,88.68816438356164
pidie jaya,15770.99,59.04,93110.71,2019,5.526739726027397,2017.26,23.063424657534245,24.94,21.32,88.79580821917808
banda aceh,13.35,52.35,69.88,2019,5.267616438356165,1922.68,27.193753424657533,29.06,25.4,79.27358904109589
langsa,1537.21,41.2,6332.96,2019,3.448931506849315,1258.86,27.894246575342464,29.79,26.13,78.69917808219178
lhokseumawe,2095.93,49.34,10342.2,2019,4.282575342465754,1563.14,24.417561643835615,26.27,22.75,86.17780821917809
subulussalam,359.24,50.48,1813.43,2019,8.147260273972602,2973.75,24.242986301369864,26.02,22.49,88.23756164383562
simeulue,5236.42,31.38,16430.86,2020,6.745054644808743,2468.69,28.19133879781421,30.06,26.21,77.55390710382514
aceh singkil,747.15,50.97,3808.19,2020,8.398469945355192,3073.84,27.84136612021858,29.83,25.91,78.8255737704918
aceh selatan,9872.89,54.0,53313.52,2020,7.7603278688524595,2840.28,25.50726775956284,27.5,23.64,84.57562841530054
aceh tenggara,10508.56,63.72,66956.46,2020,8.617103825136612,3153.86,20.862377049180328,22.75,18.88,89.18756830601093
aceh timur,29929.34,49.19,147215.29,2020,5.500218579234972,2013.08,27.581584699453554,29.35,25.88,80.37792349726776
aceh tengah,3503.1,47.53,16649.77,2020,9.650054644808744,3531.92,19.90860655737705,21.96,17.72,89.71822404371585
aceh barat,13832.38,45.54,62990.6,2020,8.758688524590163,3205.68,26.619289617486338,28.46,24.26,82.9048087431694
aceh besar,32821.25,54.8,179856.23,2020,7.247240437158471,2652.4900000000002,26.968579234972676,28.6,25.22,79.43491803278688
pidie,38887.61,63.4,246564.18,2020,8.26204918032787,3023.91,22.818524590163936,24.54,20.85,89.38942622950819
bireuen,28017.62,66.01,184943.58,2020,7.0828961748633885,2592.34,24.211885245901637,25.83,22.73,87.16081967213115
aceh utara,72332.73,53.67,388190.19,2020,7.0828961748633885,2592.34,24.211885245901637,25.83,22.73,87.16081967213115
aceh barat daya,12054.78,57.09,68823.14,2020,10.305218579234973,3771.71,25.463715846994535,27.54,23.59,81.98161202185793
gayo lues,6563.66,55.32,36309.25,2020,8.38620218579235,3069.35,19.748415300546448,21.63,17.83,89.72112021857923
aceh tamiang,14985.19,46.75,70062.57,2020,5.834153005464481,2135.3,25.57800546448087,27.7,23.01,85.02784153005464
nagan raya,8895.23,44.03,39168.32,2020,8.758688524590163,3205.68,26.619289617486338,28.46,24.26,82.9048087431694
aceh jaya,9401.68,58.41,54913.79,2020,8.294508196721312,3035.79,27.771584699453552,30.03,25.39,78.87448087431694
bener meriah,394.91,54.0,2132.65,2020,9.650054644808744,3531.92,19.90860655737705,21.96,17.72,89.71822404371585
pidie jaya,15883.56,62.58,99405.96,2020,8.26204918032787,3023.91,22.818524590163936,24.54,20.85,89.38942622950819
banda aceh,16.41,52.96,86.9,2020,7.247240437158471,2652.4900000000002,26.968579234972676,28.6,25.22,79.43491803278688
langsa,1606.85,40.38,6489.0,2020,5.500218579234972,2013.08,27.581584699453554,29.35,25.88,80.37792349726776
lhokseumawe,1960.59,55.31,10844.51,2020,7.0828961748633885,2592.34,24.211885245901637,25.83,22.73,87.16081967213115
subulussalam,417.5,51.69,2158.11,2020,8.82551912568306,3230.14,24.164508196721307,26.07,22.14,87.66860655737705
simeulue,5586.8,29.94,16728.21,2021,6.862904109589041,2504.96,27.991780821917807,29.32,26.16,77.625698630137
aceh singkil,647.32,51.76,3350.51,2021,8.578876712328768,3131.29,27.68621917808219,28.98,25.65,78.4186301369863
aceh selatan,8930.58,50.21,44839.8,2021,7.963041095890412,2906.51,25.308821917808217,26.72,23.42,84.1821095890411
aceh tenggara,10644.51,61.59,65559.88,2021,8.261150684931508,3015.32,20.623506849315067,22.51,18.76,88.6641095890411
aceh timur,27425.19,50.45,138347.01,2021,6.148465753424658,2244.19,27.47605479452055,29.24,25.64,80.06556164383562
aceh tengah,3171.42,47.16,14956.46,2021,8.391068493150684,3062.74,19.606328767123287,21.65,17.54,89.45564383561644
aceh barat,12522.87,51.39,64355.17,2021,8.015068493150684,2925.5,26.461780821917806,27.9,24.4,82.47
aceh besar,35118.23,57.35,201408.49,2021,8.66745205479452,3163.62,26.762739726027398,28.24,25.17,79.8321095890411
pidie,35947.06,56.57,203344.76,2021,8.415890410958905,3071.8,22.602383561643837,24.41,20.72,89.36953424657534
