feature,importance
provinsi_Kalimantan Selatan,0.3243257197395051
luas_panen_ha,0.05326010215403848
PRECTOTCORR_sum_MH,0.05260822620125465
RH2M_max_MK,0.03800087078953356
PRECTOTCORR_sum_MH_lag1,0.03569551303810325
nama_wilayah_bersih_Murung Raya,0.031167608059834193
PRECTOTCORR_mean_MH,0.027779291452512508
PRECTOTCORR_std_tahun,0.023763756711924468
T2M_min_MH,0.020726452501311714
provinsi_Kalimantan Timur,0.016488995862439803
PRECTOTCORR_min_MK,0.01544608977990023
max_consecutive_dry_MK_lag1,0.014325663692963397
RH2M_max_MH,0.0140146129562913
max_consecutive_wet_MH,0.013683164226113625
RH2M_mean_MK,0.013559918364505548
PRECTOTCORR_max_MH,0.013008701128303459
PRECTOTCORR_std_MH,0.012638039844642691
RH2M_mean_MH,0.011929122775598421
nama_wilayah_bersih_Landak,0.01050082031880826
PRECTOTCORR_sum_MK_lag1,0.010114902018785133
nama_wilayah_bersih_Hulu Sungai Utara,0.010037987007334484
PRECTOTCORR_max_MK,0.009851277722334108
PRECTOTCORR_std_MK,0.009281047508614644
T2M_max_MK,0.009049446409129913
nama_wilayah_bersih_Seruyan,0.008764867077340152
RH2M_mean_tahun,0.008589861539447397
T2M_mean_MK,0.008438538400887291
T2M_std_MK,0.008063609445595763
nama_wilayah_bersih_Balangan,0.007353727872100566
RH2M_min_MH,0.007239110730174991
jumlah_hari_hujan_MH,0.00706850435285703
T2M_std_MH,0.00704133221760802
T2M_mean_tahun_lag1,0.006975955807197079
T2M_min_MK,0.006824069405387976
RH2M_std_tahun,0.006589500421306885
RH2M_std_MK,0.006582425693571456
RH2M_min_MK,0.0064435599214401115
T2M_min_tahun,0.006399073966035787
RH2M_std_MH,0.00621393541400129
jumlah_hari_hujan_ekstrem_tahun_lag1,0.006186646856701397
range_suhu_tahun,0.005230196279816629
T2M_std_tahun,0.004612362959249505
jumlah_hari_hujan_MK,0.00440816923295275
nama_wilayah_bersih_Lamandau,0.004266928421914474
T2M_mean_tahun,0.004079308929254666
T2M_mean_MH,0.003953128818667706
PRECTOTCORR_mean_tahun,0.003733971019098677
nama_wilayah_bersih_Paser,0.00358353841255684
T2M_max_MH,0.003446728951212885
T2M_max_tahun,0.003382600141349362
jumlah_hari_hujan_ekstrem_tahun,0.003380295840496766
max_consecutive_dry_MK,0.0033518808470513286
PRECTOTCORR_sum_tahun,0.0032754247255981266
PRECTOTCORR_min_MH,0.0031155547393293074
PRECTOTCORR_mean_MK,0.0027081505134250333
nama_wilayah_bersih_Kapuas,0.0026182350984244665
nama_wilayah_bersih_Tabalong,0.0025878344789261785
PRECTOTCORR_sum_MK,0.0024752179698394185
nama_wilayah_bersih_Sukamara,0.0024700123750479182
nama_wilayah_bersih_Hulu Sungai Tengah,0.002129341480897891
provinsi_Kalimantan Tengah,0.0019007378820941705
nama_wilayah_bersih_Penajam Paser Utara,0.001896926053562725
nama_wilayah_bersih_Gunung Mas,0.0018486821939034022
