feature,importance
pulau_Kalimantan,19.77304957121236
pulau_Jawa,9.50139847939823
luas_panen_ha,5.8922540669321615
tipe_wilayah_Kabupaten,4.952057853853672
T2M_mean_MK,3.628445867170945
provinsi_Bali,3.6171707206162393
provinsi_Nusa Tenggara Timur,3.5050723794013363
provinsi_Sulawesi Tenggara,2.857532988695858
pulau_Maluku,2.5666885536042887
provinsi_Kepulauan Riau,2.490345901496871
provinsi_Kepulauan Bangka Belitung,2.476525837779712
provinsi_Aceh,2.414454397464296
is_micro_area,1.9871917625038626
provinsi_Kalimantan Selatan,1.5648640566925078
water_balance_MH,1.4234184338807974
tipe_wilayah_Kota,1.2547106780659045
provinsi_Sumatera Utara,0.9932270565634159
provinsi_Jawa Timur,0.88043207009793
RH2M_std_tahun,0.868439564905518
provinsi_Lampung,0.813215266347602
provinsi_Kalimantan Tengah,0.8111502286130172
provinsi_Riau,0.792485067672045
T2M_max_tahun,0.7603129039548762
provinsi_Kalimantan Barat,0.7555715474972512
provinsi_Sumatera Selatan,0.7388020598074991
T2M_std_MH,0.7007230171418705
provinsi_Nusa Tenggara Barat,0.7005495709963221
pulau_Sumatera,0.6947030527449758
PRECTOTCORR_sum_MK_lag2,0.639997404636464
water_balance_MK,0.6309264743368427
T2M_std_MK,0.5459197656473446
T2M_min_tahun,0.5264556429542104
RH2M_mean_tahun_lag1,0.5105110022408471
pulau_Sulawesi,0.48120561305199666
intensitas_hujan_MK,0.4720623873509403
provinsi_Sulawesi Tengah,0.43402525830148697
PRECTOTCORR_sum_MK_lag1,0.4278798647775428
pulau_Bali,0.4129057151601188
T2M_std_tahun,0.3850344230885135
provinsi_Sulawesi Utara,0.3806974847601186
max_consecutive_dry_MH,0.34407579173573416
PRECTOTCORR_sum_tahun_lag2,0.2960095284794665
range_suhu_harian_MK,0.28274702865719303
range_suhu_harian_tahun,0.27582455422097996
jumlah_hari_kering_MK,0.2597824979500786
max_consecutive_dry_MK,0.2522228606790936
provinsi_Sumatera Barat,0.24480159457752607
RH2M_min_tahun,0.24473163210391286
jumlah_hari_kering_MH,0.24288416629636805
RH2M_mean_MH,0.235185467186135
PRECTOTCORR_mean_MK,0.23445798171990795
jumlah_hari_hujan_ekstrem,0.21956715346462446
provinsi_Jambi,0.20637016456434018
jumlah_hari_kering_tahun_lag1,0.19160655855845193
pulau_Nusa Tenggara,0.18649410841655936
PRECTOTCORR_sum_tahun_roll3,0.1728941700247706
max_consecutive_dry_MK_lag1,0.17257714095268498
provinsi_Jawa Tengah,0.15842172414660674
PRECTOTCORR_mean_tahun,0.15564992575199527
PRECTOTCORR_sum_tahun_lag1,0.150026720518877
provinsi_Gorontalo,0.1486572822929702
provinsi_Maluku Utara,0.14478569388674173
jumlah_hari_hujan_tahun,0.12859101680917143
provinsi_Jawa Barat,0.12387697242482751
RH2M_mean_tahun,0.1200012927603467
PRECTOTCORR_mean_MH,0.11836155223403644
provinsi_DKI Jakarta,0.10053279841131654
provinsi_Maluku,0.10019629802996341
provinsi_Sulawesi Barat,0.08935310386506537
provinsi_Kalimantan Timur,0.08647484507275464
RH2M_mean_tahun_roll3,0.08142686053613808
rasio_hujan_MH_MK,0.06994035177780411
provinsi_DI Yogyakarta,0.05958467507679153
PRECTOTCORR_max_MK,0.05906790254892087
PRECTOTCORR_max_MH,0.05839965281464075
PRECTOTCORR_std_tahun,0.05348729491746944
provinsi_Sulawesi Selatan,0.0486025515420657
provinsi_Bengkulu,0.04827471940177901
RH2M_mean_MK,0.04649035438276208
intensitas_hujan_MH,0.03936097051357805
PRECTOTCORR_sum_MH_lag1,0.03201599741163506
provinsi_Kalimantan Utara,0.02195424956295682
max_consecutive_dry_MK_lag2,0.020310721642233177
PRECTOTCORR_max_tahun,0.017970387048010395
provinsi_Banten,0.009702718146224143
